Day,Month,Airline,flightclass,capacity,timediff,night1,season,delayed
6,10,4,DOM,41,2,0,Summer,0
4,10,4,DOM,24,-8,0,Summer,0
0,10,4,DOM,43,10,0,Summer,0
2,10,4,DOM,40,35,0,Summer,0
3,10,4,DOM,27,10,0,Summer,0
1,10,4,DOM,27,121,0,Summer,1
5,10,4,DOM,40,6,0,Summer,0
6,10,4,DOM,38,35,0,Summer,0
4,10,4,DOM,44,-4,0,Summer,0
0,10,4,DOM,40,26,0,Summer,0
2,10,4,DOM,32,-10,0,Summer,0
1,6,4,DOM,32,21,0,Summer,0
5,6,4,DOM,36,24,0,Summer,0
6,6,4,DOM,28,16,0,Summer,0
4,6,4,DOM,0,19,0,Summer,0
0,6,4,DOM,36,27,0,Summer,0
2,0,4,DOM,38,27,0,Summer,0
3,0,4,DOM,35,111,0,Summer,1
1,0,4,DOM,27,18,0,Summer,0
5,0,4,DOM,32,18,0,Summer,0
6,0,4,DOM,30,23,0,Summer,0
4,0,4,DOM,35,27,0,Summer,0
0,0,4,DOM,33,22,0,Summer,0
2,0,4,DOM,33,18,0,Summer,0
3,0,4,DOM,47,108,0,Summer,1
1,0,4,DOM,28,18,0,Summer,0
5,0,4,DOM,21,31,0,Summer,0
6,0,4,DOM,35,26,0,Summer,0
4,0,4,DOM,32,27,0,Summer,0
0,0,4,DOM,39,29,0,Summer,0
2,0,4,DOM,0,20,0,Summer,0
3,0,4,DOM,29,119,0,Summer,1
1,0,4,DOM,10,26,0,Summer,0
5,0,4,DOM,18,14,0,Summer,0
6,0,4,DOM,32,27,0,Summer,0
4,0,4,DOM,34,21,0,Summer,0
0,0,4,DOM,32,14,0,Summer,0
2,0,4,DOM,0,27,0,Summer,0
3,0,4,DOM,30,119,0,Summer,1
1,0,4,DOM,30,3,0,Summer,0
5,0,4,DOM,0,21,0,Summer,0
6,0,4,DOM,33,21,0,Summer,0
4,0,4,DOM,34,28,0,Summer,0
0,0,4,DOM,37,70,0,Summer,1
2,0,4,DOM,37,25,0,Summer,0
3,0,4,DOM,32,117,0,Summer,1
1,7,4,DOM,18,32,0,Summer,0
5,7,4,DOM,26,33,0,Summer,0
4,7,4,DOM,36,29,0,Summer,0
0,7,4,DOM,33,19,0,Summer,0
2,7,4,DOM,37,19,0,Summer,0
3,7,4,DOM,23,114,0,Summer,1
1,7,4,DOM,34,32,0,Summer,0
5,7,4,DOM,32,32,0,Summer,0
6,7,4,DOM,31,31,0,Summer,0
4,7,4,DOM,36,28,0,Summer,0
0,7,4,DOM,31,27,0,Summer,0
2,7,4,DOM,38,29,0,Summer,0
3,7,4,DOM,24,52,0,Summer,1
1,7,4,DOM,30,31,0,Summer,0
5,7,4,DOM,35,28,0,Summer,0
6,7,4,DOM,26,19,0,Summer,0
4,7,4,DOM,32,23,0,Summer,0
